,가구,가전,건강기능,농수축,생활용품,속옷,의류,이미용,잡화,주방,침구
179,NaN,NaN,NaN,정직한,온열,3세트,스타디움,NaN,기라로쉬,보온병세트,NaN
180,NaN,NaN,NaN,10봉,올뉴,5세트,원더,NaN,메신저,세라믹,NaN
181,NaN,NaN,NaN,13봉,의자,베르사유,윈드브레이커1종,NaN,미네타,실버팬,NaN
182,NaN,NaN,NaN,1kg,캐치온,이너웨어,캐주얼,NaN,스트랩슬립온,에코바이런,NaN
183,NaN,NaN,NaN,30개,테이블,프리무빙,퀼팅,NaN,아이비,캄포도마,NaN
184,NaN,NaN,NaN,30봉,플래티늄,하이웨이스트팬티,퀼팅롱코트,NaN,앤디,호주,NaN
185,NaN,NaN,NaN,36미,마스크,황후의코르셋,퀼팅자켓,NaN,웨지,데일리,NaN
186,NaN,NaN,NaN,4병,한일,레이스홀릭,패딩팬츠,NaN,주얼,4in1,NaN
187,NaN,NaN,NaN,가자미,2종세트,메쉬,풀오버,NaN,플렉시블,가스그릴,NaN
188,NaN,NaN,NaN,마늘양파듬뿍삼계탕,new,모달,플렉스,NaN,썸머,델첸,NaN
189,NaN,NaN,NaN,맛있는,대형,2종,역시즌,NaN,모터백,드럼쿡,NaN
190,NaN,NaN,NaN,창녕,2way,new,남성이너티셔츠5종,NaN,컬러풀에디션,목화솜행주,NaN
191,NaN,NaN,NaN,천혜향1박스,고밀도,bbc,여성이너티셔츠5종,NaN,리얼,안타고,NaN
192,NaN,NaN,NaN,치마살,국내제작,izumi,3종세트,NaN,dior,오스터,NaN
193,NaN,NaN,NaN,한라봉2박스,꿀잠,감탄,19f,NaN,sideral,전기식,NaN
194,NaN,NaN,NaN,20미,뉴청맥,레이스런닝,6월,NaN,글로리아,해피,NaN
195,NaN,NaN,NaN,고등어,단열벽지,맥시,윈터,NaN,듀엣,회전통그릴,NaN
196,NaN,NaN,NaN,10포,도루코,머스트해브,남성약기모팬츠3종,NaN,방한,국내산,NaN
197,NaN,NaN,NaN,120봉,디퓨저골드,미들,더블페이스,NaN,보헤미안,스페셜,NaN
198,NaN,NaN,NaN,13박스,디퓨저골드패키지,바스트,린넨블랜딩,NaN,생줄랑,원목,NaN
199,NaN,NaN,NaN,18팩,따스림,보정런닝,반팔스웻티셔츠,NaN,아르니카,원터치,NaN
200,NaN,NaN,NaN,1등급,레어,브라렛,앱할인,NaN,아일렛,16조,NaN
201,NaN,NaN,NaN,20봉,롤업,액티브,에코무스탕1종,NaN,카메라,27p,NaN
202,NaN,NaN,NaN,21,메모리폼,에어홀릭,오가닉티셔츠6종,NaN,트윙클,4인,NaN
203,NaN,NaN,NaN,2미,바두기,웜웨어,오가닉티셔츠8종,NaN,팔찌반지,4조,NaN
204,NaN,NaN,NaN,2병,바리캉,지퍼란쥬,쿠션재킷,NaN,패딩슈즈,8조,NaN
205,NaN,NaN,NaN,2팩,붙이는,쿨메쉬,패딩점퍼,NaN,플로쥬,도깨비그릴,NaN
206,NaN,NaN,NaN,31봉,브라이트,홈웨어,남성스포츠,NaN,지퍼,두꺼비,NaN
207,NaN,NaN,NaN,3대세트,소형,브라팬티10종,양모,NaN,코트,디너세트,NaN
208,NaN,NaN,NaN,6통,스칸디나비아,니트,와이드,NaN,미란다백,뚝배기,NaN
209,NaN,NaN,NaN,80g,시트,파운데이션,2018,NaN,보스턴,램프쿡,NaN
210,NaN,NaN,NaN,spc삼립,실크,3종세트,gqe772,NaN,사피아노,마리벨,NaN
211,NaN,NaN,NaN,大사이즈,에어볼륨,기모,gqe774,NaN,스퀘어백,매직,NaN
212,NaN,NaN,NaN,감말랭이,일체형,16차,gqe776,NaN,아쿠아마레,멀티쿠커,NaN
213,NaN,NaN,NaN,갓김치4kg,전등,19ss,kqe251,NaN,인피니티러브,멀티포트,NaN
214,NaN,NaN,NaN,거창특등급사과,체어,6종세트,kqe253,NaN,베이직,멀티핸즈,NaN
215,NaN,NaN,NaN,고구마,트라이,cd19차,kqe255,NaN,9종세트,모던,NaN
216,NaN,NaN,NaN,고창,파로마,감탄브라,pk,NaN,merci,보냉보온,NaN
217,NaN,NaN,NaN,고춧가루,퍼퓸드몽드,긴팔형,남녀,NaN,노리타,볼토,NaN
218,NaN,NaN,NaN,곡물그대로,페이스5,끈형,덕다운롱코트,NaN,메르시,블랙우드,NaN
219,NaN,NaN,NaN,과메기,한솔,남아,레나,NaN,모자,비앙코,NaN
220,NaN,NaN,NaN,광어,공구,드라이셀라인,로이몬스터,NaN,스카프,쁘띠2,NaN
221,NaN,NaN,NaN,구룡포,달인,발레리,루이바셋,NaN,아웃라인,살균블럭,NaN
222,NaN,NaN,NaN,구워만든,코튼데이,복합구성,릴리젼,NaN,엘르,서장훈의,NaN
223,NaN,NaN,NaN,냉동,5세트,스킨구성,멀티패키지,NaN,클레오,셀렉프로,NaN
224,NaN,NaN,NaN,농협,led,에어스킨,벤치후드롱패딩,NaN,토트백세트,셰프웨이,NaN
225,NaN,NaN,NaN,대학,건조기,여아,세미와이드팬츠,NaN,파일백,순면100,NaN
226,NaN,NaN,NaN,더커진거창특등급사과,릴렉스,컴포트핏,스테디움점퍼세트,NaN,15g,스마트코너,NaN
227,NaN,NaN,NaN,도라지,160,쿨란쥬,실켓티블라우스5종,NaN,머플러,아르마이드,NaN
228,NaN,NaN,NaN,머리,cbp,편안한,아스킨,NaN,미라클,에델코첸,NaN
229,NaN,NaN,NaN,목우촌,손목형,레이어,아이스,NaN,샤인클로버,엑슬,NaN
230,NaN,NaN,NaN,무료체험1봉,자동전자,이지웨어세트,어반시크릿,NaN,스퀘어,유리밀폐용기,NaN
231,NaN,NaN,NaN,뽕셰프,혈압계,풀코디,웜테크,NaN,장지갑,유리밀폐용기세트,NaN
232,NaN,NaN,NaN,산돌배즙,유기농,the,유리진,NaN,프리다,자동회전냄비,NaN
233,NaN,NaN,NaN,생새우,01w,컴포트,이너티셔츠,NaN,8종,착즙기,NaN
234,NaN,NaN,NaN,생선,100매,프리미엄,코튼블렌딩,NaN,25g,초고속블렌더,NaN
235,NaN,NaN,NaN,선식,10미터,360커브드,크롭,NaN,gg플랩,카세로,NaN
236,NaN,NaN,NaN,수산물,1ch,fw,타운젠트,NaN,남성19ss,칼도마,NaN
237,NaN,NaN,NaN,수협,1롤,fw리뉴얼,티셔츠세트,NaN,다이얼,칼블럭7종,NaN
238,NaN,NaN,NaN,쉐이커통,2ch,기모런닝,폭스퍼후드,NaN,드로잉,컬러스텐냄비,NaN
239,NaN,NaN,NaN,슬로푸드,2롤,더블엑스,레이어,NaN,라일라,퀵스퀴저,NaN
240,NaN,NaN,NaN,식탁앤김,2인,드레스핏,린넨,NaN,마이크로,키친툴7종,NaN
241,NaN,NaN,NaN,신안생물,3롤,루시헨느,모달,NaN,마이클코어스,텀블러세트,NaN
242,NaN,NaN,NaN,예천청결,5080pro,리얼스킨,덕다운,NaN,마일드,투인원,NaN
243,NaN,NaN,NaN,오리로스,50매,매직니퍼팬티,르까프,NaN,메디오백,파스텔,NaN
244,NaN,NaN,NaN,오이소박이2kg,7080bt,브래팬티10종,셀린니트3종,NaN,미듐,퍼플,NaN
245,NaN,NaN,NaN,옥돔,84매,숏츠,트랙,NaN,미들퍼부츠,퍼플클래식,NaN
246,NaN,NaN,NaN,옥수수,a7,수피마,핫멜트,NaN,미아,핑크,NaN
247,NaN,NaN,NaN,완도산,good,스킨컬렉션,4종세트,NaN,밀덴홀,홈세트,NaN
248,NaN,NaN,NaN,우소,ln,에어로웜,기모본딩팬츠,NaN,버킷,휴롬퀵스퀴저,NaN
249,NaN,NaN,NaN,유기농처음매실원액,s1000,에어리라이트,남성맨투맨,NaN,스몰,클래식,NaN
250,NaN,NaN,NaN,이경제원장의,거름통,완벽더블,라운지웨어세트,NaN,양산,양면,NaN
251,NaN,NaN,NaN,자이언트킹랍스터,경추베개,프론트,롱베스트,NaN,여성19ss트레킹화,17종,NaN
252,NaN,NaN,NaN,점보1미,고기능,홀리데이,롱패딩1종,NaN,울실크,cube,NaN
253,NaN,NaN,NaN,참굴,고농축,황후의,마담팰리스,NaN,인피니티,rpm,NaN
254,NaN,NaN,NaN,청도,굿템,후크,마카롱,NaN,장갑,sk매직,NaN
255,NaN,NaN,NaN,크래커,낚시세트,히트모,성인,NaN,제니스,국내생산,NaN
256,NaN,NaN,NaN,통영바다의보물,노즈케어,남성용,여성맨투맨,NaN,체인숄더백,냄비후라이팬,NaN
257,NaN,NaN,NaN,특갈비탕,뉴헤어드라이어기,여성용,정장팬츠3종,NaN,페이톤,리큅,NaN
258,NaN,NaN,NaN,포항,대웅모닝컴,지퍼,집업니트4종,NaN,헤라,바비큐,NaN
259,NaN,NaN,NaN,하동,뚜러킹,코몽트,웜기모,NaN,홀스페리,블랜더,NaN
260,NaN,NaN,NaN,한우소머리,럭셔리,라이트,이너티셔츠6종,NaN,부츠1종,스텐락,NaN
261,NaN,NaN,NaN,한우소머리양곰탕,레드,리얼,기모데님3종,NaN,소프트퍼슈즈1종,스핀,NaN
262,NaN,NaN,NaN,한입,루미테라피,볼륨,남성기모티3종,NaN,11종,식기세척기,NaN
263,NaN,NaN,NaN,호빵,리모컨,노라인,남성기모티셔츠,NaN,2단,실리만,NaN
264,NaN,NaN,NaN,황토방,바로톡,쉐이핑차,남성오가닉티셔츠,NaN,라운드,중탕기,NaN
265,NaN,NaN,NaN,힘찬,방역용마스크,무이자,남성패딩재킷2종세트,NaN,소프트,직화그릴,NaN
266,NaN,NaN,NaN,100,배관청소용품,일시불,니트4종,NaN,양가죽,쿠진,NaN
267,NaN,NaN,NaN,120포,벤치,3차,니트웨어,NaN,양면,키친바흐,NaN
268,NaN,NaN,NaN,가격인하,보국미니히터,ars10,니트점퍼세트,NaN,에버라스트,터치온,NaN
269,NaN,NaN,NaN,골든,브람스안마의자,lsx라이크라,도네이,NaN,new컴포트,통구이,NaN
270,NaN,NaN,NaN,품은,샤프란아우라,댄스킨,디베이지,NaN,남성다이얼트레킹화세트,파워워시,NaN
271,NaN,NaN,NaN,40미,섬유유연제,듀얼윙,디태처블,NaN,베니스,홈쿠,NaN
272,NaN,NaN,NaN,굴비,스탠드선풍기2대,매쉬,리버시블재킷1종,NaN,여성다이얼트레킹화세트,심플,NaN
273,NaN,NaN,NaN,남해바다,스톰,밸런스업,맨투맨,NaN,캐쥬얼슈즈,시즌2,NaN
274,NaN,NaN,NaN,대장대,스트레칭,세일20,모크넥,NaN,윈터,한샘,NaN
275,NaN,NaN,NaN,병어,실속패키지,스킨,미즈,NaN,2종세트,x2싱크릴,NaN
276,NaN,NaN,NaN,손질왕꼬막살세트,싱크대,스포츠,아문센,NaN,4종세트,곰솥구성,NaN
277,NaN,NaN,NaN,영광군수협,씨엔지코리아,슬리머,액티비티,NaN,5종,곰팡이젤1개,NaN
278,NaN,NaN,NaN,홍어무침1통,안마,슬림라이트,약기모티,NaN,더블,곰팡이젤2개,NaN
279,NaN,NaN,NaN,감자탕,안마의자,어메이징핏,에르나벨,NaN,1493,김장용,NaN
280,NaN,NaN,NaN,통뼈,안전스틱,이너쇼츠,여성기모티3종,NaN,1495,담백한,NaN
281,NaN,NaN,NaN,11kg,알파,저스트마이사이즈,여성기모티셔츠,NaN,1e552,버블수세미200매,NaN
282,NaN,NaN,NaN,16인분,엔웰스황사방역마스크,풀커버리지,여성오가닉티셔츠,NaN,1h503,버블수세미400매,NaN
283,NaN,NaN,NaN,17,오딧세이,힐링,워터,NaN,1h898,베스트하임,NaN
284,NaN,NaN,NaN,18미,이지스,네추럴,점퍼,NaN,1h963,분리가능,NaN
285,NaN,NaN,NaN,1kg이상,자외선,하이서포트,체크배색,NaN,2388,블루,NaN
286,NaN,NaN,NaN,23팩,저출력광선조사기,헤스떼벨,코팅밴딩팬츠4종,NaN,2734,수세미,NaN
287,NaN,NaN,NaN,27팩,정글피싱,오리지널,쿨팬츠,NaN,2차,스텐용기,NaN
288,NaN,NaN,NaN,4개,제로,NaN,티셔츠5종,NaN,333,스페셜에디션,NaN
289,NaN,NaN,NaN,4봉,퀸메이드,NaN,티셔츠6종,NaN,8063,슬라이드,NaN
290,NaN,NaN,NaN,6팩세트,텐셀,NaN,퍼포먼스,NaN,뉴컬러,실바트,NaN
291,NaN,NaN,NaN,a4,페르소나,NaN,하드쉘,NaN,데이쿠션로퍼,양면그릴,NaN
292,NaN,NaN,NaN,강레오의,한세트,NaN,10종,NaN,바디숄더백,옥샘쿡,NaN
293,NaN,NaN,NaN,곤드레나물밥,히터,NaN,라운드,NaN,알마,우든후라이팬,NaN
294,NaN,NaN,NaN,곱창,히팅맘,NaN,오가닉,NaN,웨이스트백,웰스락,NaN
295,NaN,NaN,NaN,국내,a1,NaN,남성트랙수트,NaN,테일숄더백,인덕션,NaN
296,NaN,NaN,NaN,꼬리곰탕,면도기,NaN,여성트랙수트,NaN,메이듀,전골구성,NaN
297,NaN,NaN,NaN,낙곱새,올인원,NaN,데일리,NaN,제옥스,특허,NaN
298,NaN,NaN,NaN,단일,풀패키지,NaN,머스크랫,NaN,마스케라,하임,NaN
299,NaN,NaN,NaN,돼지왕구이,100bt,NaN,폭스카라,NaN,ss,후레쉬,NaN
300,NaN,NaN,NaN,든든한,20,NaN,11월,NaN,11,5종세트,NaN
301,NaN,NaN,NaN,듬뿍,20미터,NaN,19fw마리노블,NaN,37,가격인하,NaN
302,NaN,NaN,NaN,리얼국밥,3d매쉬,NaN,기모니트,NaN,41,그린,NaN
303,NaN,NaN,NaN,맛밤,4개입,NaN,기모밴딩팬츠3종,NaN,5g,베스트,NaN
304,NaN,NaN,NaN,머루원액,ok,NaN,기모집업니트3종,NaN,70g,1종,NaN
305,NaN,NaN,NaN,무료체험1팩포함,sr823,NaN,남성모크넥세트,NaN,75g,항균수세미,NaN
306,NaN,NaN,NaN,바다원,근육통완화,NaN,남성패딩코트1종,NaN,갈란테,NaN,NaN
307,NaN,NaN,NaN,밤양갱,기본구성,NaN,벨로아기모밴딩팬츠,NaN,골드링,NaN,NaN
308,NaN,NaN,NaN,볶음,냉수마찰,NaN,벨트롱코트,NaN,남성화,NaN,NaN
309,NaN,NaN,NaN,부각,동전패치,NaN,스포츠팬츠3종,NaN,도트펀칭,NaN,NaN
310,NaN,NaN,NaN,산머루농원,마사지기,NaN,썸머상하세트,NaN,레더,NaN,NaN
311,NaN,NaN,NaN,새꼬막,면도날,NaN,썸머숏팬츠3종,NaN,마술벨트,NaN,NaN
312,NaN,NaN,NaN,셰프의,무릎,NaN,아주아,NaN,바치,NaN,NaN
313,NaN,NaN,NaN,소스8팩,물매트,NaN,약기모,NaN,보석함,NaN,NaN
314,NaN,NaN,NaN,소한마리세트,수련,NaN,여성모크넥세트,NaN,세인트스코트,NaN,NaN
315,NaN,NaN,NaN,속초명물,엑사이더,NaN,울코트,NaN,소피아,NaN,NaN
316,NaN,NaN,NaN,순대,완벽더블구성,NaN,카타티셔츠,NaN,쉬룰,NaN,NaN
317,NaN,NaN,NaN,신세대,워킹머신,NaN,쿠션퍼자켓,NaN,아이템,NaN,NaN
318,NaN,NaN,NaN,아구채4팩,점보,NaN,퀼팅베스트,NaN,어반3종,NaN,NaN
319,NaN,NaN,NaN,아카시아꿀,차량용,NaN,크롬,NaN,얼티밋,NaN,NaN
320,NaN,NaN,NaN,야생화꿀,총30미터,NaN,터틀넥2종,NaN,에터,NaN,NaN
321,NaN,NaN,NaN,야채5봉,치약세트,NaN,터틀넥니트3종,NaN,여름모자,NaN,NaN
322,NaN,NaN,NaN,양태채2팩,특대,NaN,테일러드롱자켓1종,NaN,젯셋,NaN,NaN
323,NaN,NaN,NaN,완도매생이,핑크솔트,NaN,티셔츠4종,NaN,지오,NaN,NaN
324,NaN,NaN,NaN,우리나라,히말라야,NaN,판초니트4종,NaN,캐리올,NaN,NaN
325,NaN,NaN,NaN,이만기의,3세트,NaN,피치기모팬츠,NaN,투브릿지,NaN,NaN
326,NaN,NaN,NaN,잔다리,공기청정기,NaN,메이듀,NaN,퍼부츠,NaN,NaN
327,NaN,NaN,NaN,장보고,블루투스,NaN,코튼,NaN,헤라귀걸이,NaN,NaN
328,NaN,NaN,NaN,전골,포터블,NaN,풀패키지,NaN,면도기,NaN,NaN
329,NaN,NaN,NaN,전두부세트,화이트라벨,NaN,NaN,NaN,양모,NaN,NaN
330,NaN,NaN,NaN,조방할매,슈퍼싱글,NaN,NaN,NaN,퍼펙트,NaN,NaN
331,NaN,NaN,NaN,쥐포채2팩,전동공구세트,NaN,NaN,NaN,7종,NaN,NaN
332,NaN,NaN,NaN,최인선,스위스밀리터리,NaN,NaN,NaN,기능성,NaN,NaN
333,NaN,NaN,NaN,치킨스테이크,NaN,NaN,NaN,NaN,기모,NaN,NaN
334,NaN,NaN,NaN,콩국수,NaN,NaN,NaN,NaN,캐리어,NaN,NaN
335,NaN,NaN,NaN,탕요일,NaN,NaN,NaN,NaN,컴포트,NaN,NaN
336,NaN,NaN,NaN,티각태각,NaN,NaN,NaN,NaN,5종세트,NaN,NaN
337,NaN,NaN,NaN,팥8,NaN,NaN,NaN,NaN,쇼퍼백,NaN,NaN
338,NaN,NaN,NaN,팽현숙의,NaN,NaN,NaN,NaN,데일리,NaN,NaN
339,NaN,NaN,NaN,피꼬막,NaN,NaN,NaN,NaN,부츠,NaN,NaN
340,NaN,NaN,NaN,해물철판,NaN,NaN,NaN,NaN,블렌디드,NaN,NaN
341,NaN,NaN,NaN,혼합,NaN,NaN,NaN,NaN,어글리스니커즈,NaN,NaN
342,NaN,NaN,NaN,흑돼지구이,NaN,NaN,NaN,NaN,패딩슬립온,NaN,NaN
343,NaN,NaN,NaN,그릴,NaN,NaN,NaN,NaN,프리미엄,NaN,NaN
344,NaN,NaN,NaN,오리지널,NaN,NaN,NaN,NaN,가죽,NaN,NaN
345,NaN,NaN,NaN,6종,NaN,NaN,NaN,NaN,린넨,NaN,NaN
346,NaN,NaN,NaN,new,NaN,NaN,NaN,NaN,14k골드,NaN,NaN
347,NaN,NaN,NaN,간장전복장2통,NaN,NaN,NaN,NaN,robe,NaN,NaN
348,NaN,NaN,NaN,구이,NaN,NaN,NaN,NaN,골드파일,NaN,NaN
349,NaN,NaN,NaN,완도활전복세트,NaN,NaN,NaN,NaN,남성트레일화,NaN,NaN
350,NaN,NaN,NaN,자숙찰골뱅이,NaN,NaN,NaN,NaN,노벨라백,NaN,NaN
351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,로베,NaN,NaN
352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,카로,NaN,NaN
353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,트레일화,NaN,NaN
354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ars,NaN,NaN
355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9종,NaN,NaN
356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,베스트,NaN,NaN
357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3d,NaN,NaN
358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,라이트숄더백,NaN,NaN
359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,밍크니팅모자세트,NaN,NaN
360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,밍크머플러세트,NaN,NaN
361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,쁘띠,NaN,NaN
362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,스톨라,NaN,NaN
363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,울버튼,NaN,NaN
364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,입체,NaN,NaN
365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,집어라운드,NaN,NaN
366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,총6종,NaN,NaN
367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,케이프,NaN,NaN
368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,피오레,NaN,NaN
369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,아동,NaN,NaN
370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,풀스킨,NaN,NaN
371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,라이트,NaN,NaN
372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,클래식,NaN,NaN
373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,볼륨,NaN,NaN
